Workout Number,Workout,Description,Button Sequence,Type
1,2 x 2000m rate increase / 4 min easy,"Row two 2000 meter pieces. In each piece the first 1000m @ 24 spm. Then 500m @ 26 spm, 250m @ 28 and 250m @ 30. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
2,3 x 2000m / 1 min easy,Row three 2000 meter pieces. Row for one minute at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Medium
3,2 x 21 min with rate increase / 4 min easy,"Row two 21 minute pieces. Row the first six minutes @ 20 spm. Then five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30. Row for four minutes at light pressure between each piece.",B-D-D-B-D-B-B-A-A-A-A-A-B-B-B-B-E  ,Long
4,6 x 500m / 2 min easy,Row six 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Short
5,2-3-4-5-4-3-2 min pyramid / 2 min easy,"Pre-set the monitor for 35 minutes. Row seven intervals in a pyramid of 2-3-4-5-4-3-2 minutes, with two minutes of rest in between each piece. Two minutes hard, two light, three hard, two light, four hard and so on.",B-D-D-D-D-B-A-A-A-A-B-B-E-D-B-E-D-B-E-D-B-E-D-C-E-D-C-E-D-C-E  ,Medium
6,3 x 5000m with rate changes every 1000m: 24-22-24-26-24 / 3 min easy,"Row three 5000m pieces at a sustainable intensity, varying your stroke rate in each piece as follows: row 1000 meters @ 24 spm, 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, and 1000 meters @ 24 spm. Row for two minutes at light pressure between each piece.",B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
7,5 x 750m / 1 min easy,Row five 750 meter pieces. Row for one minute at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-E  ,Short
8,4 x 750m / 2 min easy,Row four 750 meter pieces. Row for two minutes at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-B-E  ,Short
9,2 x 2000m @ 26 spm plus bursts / 4 min easy,Row two 2000 meter pieces @ 26 spm with 10 strokes hard every 500m. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
10,7 x 1min @ 26 spm / 30 sec easy,Row seven 1 minute pieces at a stroke rate of 26. Row for 30 seconds at light pressure between each piece.,B-D-D-B-A-A-A-A-A-B-B-B-E  ,Short
11,4 x 1000m / 2 min easy,Row four 1000 meter pieces. Row for two minutes at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Short
12,4 x 750m / 2 min easy,Row four 750 meter pieces. Row for two minutes at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-B-E  ,Short
13,5 x 500m / 2 min easy,Row five 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Short
14,9 x  1 min 40 sec / 20 sec easy with a longer 2 min rest at the halfway point.,"Row nine intervals of 1 minute 40 seconds, with 20 seconds of rest in between each piece with the exception of 2 minutes of rest after the fifth interval.",B-D-D-D-D-A-B-B-B-B-A-A-A-A-B-B-E-D-E-D-E-D-E-D-A-A-A-A-B-B-A-C-C-E-D-A-A-A-A-A-B-B-D-C-C-E-D-E-D-E-D-E-E  ,Short
15,"Stroke pyramid: 1,2,3...15...2,1 / 3 light","Row a pyramid of hard strokes from one to 15 with three light strokes between each set. So one hard followed by three light. Then two hard followed by three light. Three hard, three light. 4/3. 5/3. 6/3 through to 15 hard, 3 light and then back down. 14/3. 13/3 and so on to 1/3.",Just start rowing or press A once  ,Short
16,6 x 20 sec high intensity intervals,"Set your monitor for a time intervals of 20 seconds with no rest. Row 20 seconds at an intense pace, then 20 seconds at a moderate pace. Do this 5 more times for a total workout time of 4 minutes.",B-D-D-B-A-B-B-D-C-E  ,Short
17,12 x 250m / 45 sec easy,"Pre-set a work distance of 250 meters and a rest time of 45 seconds. Row 12 intervals at a challenging intensity, with light rowing between pieces.",B-D-D-A-C-C-C-A-B-B-B-B-B-A-A-A-A-B-B-B-B-A-B-B-B-B-B-E  ,Short
18,3 x 3 min / 2 min easy,Row three 3 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-E  ,Short
19,21 minutes with rate increase,"Row a single 21 minute piece. Row the first six minutes @ 20 spm. Then row five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30.",B-D-B-C-A-B-E  ,Short
20,High Intensity Interval Pyramid starting at 250 meters,"Set your monitor for a variable interval workout as follows, with no rest between intervals: 250m, 250m, 200m, 200m, 150m, 150m, 100m, 100m, 150m, 150m, 200m, 200m, 250m, 250m. Row the first 250m at a moderate pace, then 250m at an intense pace, then 200m moderate, then 200m intense, and so on down to 100 meters, then work your way back up to 250 meters in the same manner.",B-D-D-D-C-C-C-C-A-B-B-B-B-B-E-C-E-C-A-C-C-C-C-C-E-C-E-C-C-A-B-B-B-B-B-E-C-E-C-A-C-C-C-C-C-E-C-E-C-A-B-B-B-B-B-E-C-E-C-B-A-C-C-C-C-C-E-C-E-C-A-B-B-B-B-B-E-C-E-E  ,Short
21,5000m with rate changes every 1000m: 22-24-26-24-22,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, 1000 meters @ 24 spm, and 1000 meters @ 22 spm.",B-A-B  ,Short
22,9 x  1 min 40 sec / 20 sec easy with a longer 2 min rest at the halfway point.,"Row nine intervals of 1 minute 40 seconds, with 20 seconds of rest in between each piece with the exception of 2 minutes of rest after the fifth interval.",B-D-D-D-D-A-B-B-B-B-A-A-A-A-B-B-E-D-E-D-E-D-E-D-A-A-A-A-B-B-A-C-C-E-D-A-A-A-A-A-B-B-D-C-C-E-D-E-D-E-D-E-E  ,Short
23,5 x 3 min / 1 min easy,Row five 3 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-E  ,Short
24,20 minutes with bursts,"Row a single 20 minute piece at a consistent pace. Every four minutes, row ten strokes hard and then return to your previous pace.",B-D-B-C-E  ,Short
25,5 x 750m / 1 min easy,Row five 750 meter pieces. Row for one minute at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-E  ,Short
26,5000m with rate changes every 1000m: 22-24-26-24-22,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, 1000 meters @ 24 spm, and 1000 meters @ 22 spm.",B-A-B  ,Short
27,12 x 250m / 45 sec easy,"Pre-set a work distance of 250 meters and a rest time of 45 seconds. Row 12 intervals at a challenging intensity, with light rowing between pieces.",B-D-D-A-C-C-C-A-B-B-B-B-B-A-A-A-A-B-B-B-B-A-B-B-B-B-B-E  ,Short
28,4 x 750m / 1 min easy,Row four 750 meter pieces. Row for one minute at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-E  ,Short
